Close,Open,High,Low,Change(%),Ticker,Category,Date
671.9099731445312,681.760009765625,691.739990234375,664.3099975585938,-1.44,IVV,ETF (指數/股息/債券),2026-03-31
689.3800048828125,692.6500244140625,700.27001953125,678.7999877929688,-0.47,IVV,ETF (指數/股息/債券),2026-02-28
695.030029296875,688.739990234375,700.969970703125,679.5800170898438,0.91,IVV,ETF (指數/股息/債券),2026-01-31
684.9400024414062,679.7928711950259,694.7000122070312,672.1599731445312,0.76,IVV,ETF (指數/股息/債券),2025-12-31
684.4563598632812,686.5987989203343,686.7282842634027,651.7321999953235,-0.31,IVV,ETF (指數/股息/債券),2025-11-30
682.8121337890625,664.0187513396584,690.624546451635,653.7152604206578,2.83,IVV,ETF (指數/股息/債券),2025-10-31
666.9383544921875,636.4620384382174,668.1839518034126,633.8889026141212,4.79,IVV,ETF (指數/股息/債券),2025-09-30
644.0918579101562,625.2555383045242,648.4333638364487,618.2515278571955,3.01,IVV,ETF (指數/股息/債券),2025-08-31
630.7593994140625,615.2611318901606,638.7469431482273,614.4464723642417,2.52,IVV,ETF (指數/股息/債券),2025-07-31
616.8507080078125,584.8724296351753,618.0627224423127,582.2281159885296,5.47,IVV,ETF (指數/股息/債券),2025-06-30
586.4569702148438,557.6071251450737,592.6568200876595,553.3187369255696,5.17,IVV,ETF (指數/股息/債券),2025-05-31
552.5957641601562,554.6359415201364,564.559549275086,479.3467854633202,-0.37,IVV,ETF (指數/股息/債券),2025-04-30
556.4978637695312,591.4818817099498,592.5876719224793,544.1180399665817,-5.91,IVV,ETF (指數/股息/債券),2025-03-31
589.4678344726562,588.0263522569545,608.4045481318159,577.8767402831977,0.25,IVV,ETF (指數/股息/債券),2025-02-28
596.9911499023438,584.6595585364647,606.0053956048778,570.6693222013321,2.11,IVV,ETF (指數/股息/債券),2025-01-31
581.2138671875,596.1909588999697,602.2122100972962,576.2673536929891,-2.51,IVV,ETF (指數/股息/債券),2024-12-31
595.3054809570312,564.7664196612379,596.5353086500069,561.4311093192208,5.41,IVV,ETF (指數/股息/債券),2024-11-30
562.0213623046875,566.8423334980355,579.4259031976022,558.8041251085933,-0.85,IVV,ETF (指數/股息/債券),2024-10-31
567.5113525390625,552.2854824462241,568.1508186031967,531.586844055192,2.76,IVV,ETF (指數/股息/債券),2024-09-30
555.4412231445312,544.4842330599076,556.009666729582,502.78331070566753,2.01,IVV,ETF (指數/股息/債券),2024-08-31
542.2791748046875,537.633752970684,556.901457033187,529.5973421716396,0.86,IVV,ETF (指數/股息/債券),2024-07-31
536.310791015625,519.540986347599,542.2106896907097,513.2288123264111,3.23,IVV,ETF (指數/股息/債券),2024-06-30
517.8311157226562,492.2697157821818,523.478617577928,490.4816043537096,5.19,IVV,ETF (指數/股息/債券),2024-05-31
492.89508056640625,514.3133571768125,514.8996609567581,484.94135880127016,-4.16,IVV,ETF (指數/股息/債券),2024-04-30
513.6978149414062,498.18794528748793,515.0950799637968,494.1652210223257,3.11,IVV,ETF (指數/股息/債券),2024-03-31
497.18475341796875,474.26624559684933,499.3080421564285,473.5259864819641,4.83,IVV,ETF (指數/股息/債券),2024-02-29
472.59088134765625,462.07154176904106,481.14272831936887,456.471001794069,2.28,IVV,ETF (指數/股息/債券),2024-01-31
465.2176208496094,444.19795802995617,467.3214801748231,442.80096232911797,4.73,IVV,ETF (指數/股息/債券),2023-12-31
444.71209716796875,408.44013857499243,446.6328475417687,407.9065968059356,8.88,IVV,ETF (指數/股息/債券),2023-11-30
407.3826904296875,415.6770351568576,426.89136675557074,398.72943619396517,-2.0,IVV,ETF (指數/股息/債券),2023-10-31
416.58892822265625,440.07851867500113,440.4744499569047,411.4765085306191,-5.34,IVV,ETF (指數/股息/債券),2023-09-30
437.1524658203125,442.99481059996845,443.8446113687861,420.3496985360299,-1.32,IVV,ETF (指數/股息/債券),2023-08-31
444.3854064941406,429.9485668580982,446.0270136216818,424.27037555427955,3.36,IVV,ETF (指數/股息/債券),2023-07-31
430.41204833984375,404.2828691016784,431.29081827481104,403.069924926582,6.46,IVV,ETF (指數/股息/債券),2023-06-30
403.7726745605469,401.71257317158364,408.5860369800366,390.4012338526064,0.51,IVV,ETF (指數/股息/債券),2023-05-31
402.0687561035156,395.3781900149237,402.145756777111,390.40120362356146,1.69,IVV,ETF (指數/股息/債券),2023-04-30
395.734375,380.79838104733614,396.0809514805347,366.5622558723197,3.92,IVV,ETF (指數/股息/債券),2023-03-31
381.51739501953125,390.26997454972525,402.8762839545958,379.130333138006,-2.24,IVV,ETF (指數/股息/債券),2023-02-28
391.4299011230469,370.1572485375642,393.1171776050705,363.9068050891138,5.75,IVV,ETF (指數/股息/債券),2023-01-31
368.3262634277344,392.0073694808503,393.4718975745683,360.92538681504266,-6.04,IVV,ETF (指數/股息/債券),2022-12-31
390.7092590332031,373.9571802036131,390.7092590332031,353.4729351713492,4.48,IVV,ETF (指數/股息/債券),2022-11-30
370.15814208984375,346.0657189220721,373.36539559935807,333.6377279022208,6.96,IVV,ETF (指數/股息/債券),2022-10-31
342.34295654296875,375.0105114658814,393.09152884506926,342.2284173435047,-8.71,IVV,ETF (指數/股息/債券),2022-09-30
377.1756591796875,390.62253259175446,412.1696390732645,377.0901955896437,-3.44,IVV,ETF (指數/股息/債券),2022-08-31
393.41436767578125,359.4554838742679,394.2880436968101,354.18500415651204,9.45,IVV,ETF (指數/股息/債券),2022-07-31
360.05377197265625,394.7576324792319,396.9349545267159,345.69527983847763,-8.79,IVV,ETF (指數/股息/債券),2022-06-30
392.7506103515625,391.56733347880703,408.4939944332377,361.79411905992595,0.3,IVV,ETF (指數/股息/債券),2022-05-31
391.5104675292969,430.9871787693319,435.2757030079045,390.96140375279793,-9.16,IVV,ETF (指數/股息/債券),2022-04-30
429.50091552734375,412.33124501215457,439.30850699896075,393.3752813459418,4.16,IVV,ETF (指數/股息/債券),2022-03-31
413.9541931152344,427.1355437532594,434.16501470264996,389.11989839310576,-3.09,IVV,ETF (指數/股息/債券),2022-02-28
426.2674255371094,451.3753550508499,454.8569957231909,398.70637439262674,-5.56,IVV,ETF (指數/股息/債券),2022-01-31
450.0638427734375,435.90247412829694,453.9323175297067,423.94790923768903,3.25,IVV,ETF (指數/股息/債券),2021-12-31
430.4283142089844,434.66088638502384,447.23621535615183,429.9580343872764,-0.97,IVV,ETF (指數/股息/債券),2021-11-30
433.5887145996094,406.9801987590527,433.96496153593364,402.5689953368874,6.54,IVV,ETF (指數/股息/債券),2021-10-31
405.2120056152344,425.91066600645973,427.34435128526684,404.94078804700905,-4.86,IVV,ETF (指數/股息/債券),2021-09-30
425.1236267089844,414.4138539099706,426.4166736143137,410.41279569350115,2.58,IVV,ETF (指數/股息/債券),2021-08-31
412.6522216796875,403.57278226919556,415.76307031135906,397.10751510593497,2.25,IVV,ETF (指數/股息/債券),2021-07-31
402.8326110839844,396.3598321719996,403.48848995183516,390.23933964402266,1.63,IVV,ETF (指數/股息/債券),2021-06-30
393.9400634765625,393.3514633970833,396.537372742753,379.6362071124972,0.15,IVV,ETF (指數/股息/債券),2021-05-31
391.35205078125,373.6006637501337,394.52866102258486,373.3951205844918,4.75,IVV,ETF (指數/股息/債券),2021-04-30
371.67608642578125,360.5199520446289,373.2269980270734,347.55851694265357,3.09,IVV,ETF (指數/股息/債券),2021-03-31
355.4825134277344,349.33699930291704,368.40682350726155,347.03707451193645,1.76,IVV,ETF (指數/股息/債券),2021-02-28
345.938232421875,350.75234201170764,360.5386440138792,340.94740503626105,-1.37,IVV,ETF (指數/股息/債券),2021-01-31
349.5419006347656,340.1401612461736,350.1471381027652,338.02654337251386,2.76,IVV,ETF (指數/股息/債券),2020-12-31
336.8212585449219,307.2108811887315,339.018471476077,304.4296854919902,9.64,IVV,ETF (指數/股息/債券),2020-11-30
303.72509765625,314.1175217702068,329.33989613548704,300.10954901843013,-3.31,IVV,ETF (指數/股息/債券),2020-10-31
311.5494689941406,324.55569583883926,332.4738792129796,297.5137912061023,-4.01,IVV,ETF (指數/股息/債券),2020-09-30
323.71588134765625,304.23401645014246,325.5616258040615,303.6802875635947,6.4,IVV,ETF (指數/股息/債券),2020-08-31
302.535888671875,286.7733231242561,304.6031920612901,286.32112471971806,5.5,IVV,ETF (指數/股息/債券),2020-07-31
285.8042907714844,279.9827711541477,298.2812861807229,273.62232306383896,2.08,IVV,ETF (指數/股息/債券),2020-06-30
280.4791259765625,263.0261270559932,282.98810691843215,252.74176550030222,6.64,IVV,ETF (指數/股息/債券),2020-05-31
267.5938415527344,228.62567780790576,271.89501180126325,224.82076468890068,17.04,IVV,ETF (指數/股息/債券),2020-04-30
237.48541259765625,273.3987232974844,287.8386799801932,201.19023318374613,-13.14,IVV,ETF (指數/股息/債券),2020-03-31
